name,x,y,depth,casing
MG-01,370202.8,409173.7,1377.0,99.0
MG-03,370455.1,408920.9,1414.0,117.8
MG-04,370758.0,408722.9,1334.9,570.0
MG-05,372729.4,410731.7,1592.0,133.2
MG-06,370502.0,408796.2,1416.0,9.0
MG-07,370523.3,408319.9,1484.0,132.3
MG-08,370374.3,408714.5,1564.0,133.2
MG-09,370213.9,408870.8,1803.0,155.4
MG-10,370779.5,408388.4,1045.0,1021.6
MG-11,371013.9,408855.0,1235.0,167.0
MG-12,370818.7,409125.4,800.0,194.0
MG-13,370617.2,409486.5,1905.0,181.8
MG-14,370410.9,408981.9,2034.0,213.2
MG-15,370516.0,409048.9,1988.0,207.7
MG-16,370707.5,409699.1,2033.0,213.1
MG-17,370752.5,408372.8,1766.0,613.4
MG-18,370471.3,408843.2,2043.0,183.7
MG-19,372048.1,410944.1,1513.0,183.1
MG-20,370687.8,409312.8,2030.0,196.7
MG-21,372980.7,410535.0,1769.0,143.6
MG-22,371110.1,408607.7,1487.0,195.1
MG-23,370889.3,408278.9,1202.0,600.0
MG-24,371035.9,408800.5,1950.0,198.1
MG-25,370544.8,409742.8,2025.0,202.0
MG-26,371030.2,408467.1,867.0,199.8
MG-27,371080.8,408557.6,2003.0,193.7
MG-28,372470.3,410867.4,2040.0,191.9
MG-30,371066.9,408726.7,1605.0,196.5
MG-31,370998.2,408412.7,1477.0,198.1
MG-32,373502.3,410247.9,1319.0,243.2
MG-33,373723.1,409735.5,1825.0,245.5
MG-34,373740.2,410104.1,1909.0,246.4
MG-35,373706.3,409172.7,1903.0,246.0
MG-36,373710.9,410315.2,1895.0,11.0
MG-37,371605.3,411190.2,1999.0,251.3
MG-38,373699.2,409935.1,1767.0,250.7
MG-39,373898.9,409132.4,2025.0,367.8
SR-32,370363.4,409021.8,608.6,
